"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","1286","125","580","99","706","136",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","1578","210","728","154","850","171",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","738","68","206","49","532","69",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","3634","422","1658","364","1976","349",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","5076","451","2631","562","2445","479",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","1143","117","317","96","826","113",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","751","131","247","72","504","124",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","870","91","348","86","522","99",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","880","100","369","76","511","99",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","773","131","170","43","603","127",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","2690","336","539","163","2151","364",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","2962","302","946","302","2016","306",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","1831","153","387","116","1444","192",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","2186","195","576","159","1610","223",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","1427","168","798","167","629","115",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","610","77","350","67","260","49",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","781","90","408","86","373","72",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","710","88","472","83","238","67",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","889","106","608","108","281","66",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","1497","154","697","146","800","171",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","1623","148","735","143","888","116",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","2036","143","981","178","1055","144",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","1800","281","512","109","1288","283",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","1395","158","346","85","1049","157",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","4821","439","1692","320","3129","456",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","2045","233","243","67","1802","239",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","2950","289","828","189","2122","337",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","938","68","511","65","427","72",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","1378","140","330","77","1048","152",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","2645","251","1004","212","1641","253",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","1856","250","688","185","1168","228",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","1160","102","82","50","1078","105",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","2132","297","629","167","1503","308",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","1683","186","650","178","1033","163",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","1558","154","716","109","842","148",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","1395","117","779","105","616","127",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","1377","181","883","98","494","169",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","1880","249","995","227","885","196",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","1069","110","591","113","478","96",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","1046","188","434","99","612","196",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","1402","155","413","100","989","176",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","2193","382","1289","366","904","253",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","2830","356","1348","317","1482","257",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","3729","367","1257","350","2472","415",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","706","87","461","89","245","66",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","696","84","395","65","301","88",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","1175","164","675","218","500","118",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","4496","449","2396","469","2100","394",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","2396","384","1538","213","858","353",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","2958","255","1177","279","1781","232",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","3479","260","1359","312","2120","249",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","2211","406","904","363","1307","320",
"1400000US17031081000","Census Tract 810; Cook County; Illinois","5561","606","698","248","4863","648",
"1400000US17031081100","Census Tract 811; Cook County; Illinois","2902","355","512","172","2390","347",
"1400000US17031081201","Census Tract 812.01; Cook County; Illinois","2933","343","1338","265","1595","296",
"1400000US17031081202","Census Tract 812.02; Cook County; Illinois","2113","362","1431","364","682","157",
"1400000US17031081300","Census Tract 813; Cook County; Illinois","3838","521","1978","433","1860","435",
"1400000US17031081401","Census Tract 814.01; Cook County; Illinois","1609","198","619","111","990","210",
"1400000US17031081402","Census Tract 814.02; Cook County; Illinois","3950","365","1198","345","2752","403",
"1400000US17031081403","Census Tract 814.03; Cook County; Illinois","7077","824","1444","583","5633","765",
"1400000US17031081500","Census Tract 815; Cook County; Illinois","3608","562","1883","593","1725","321",
"1400000US17031081600","Census Tract 816; Cook County; Illinois","2976","318","787","189","2189","274",
"1400000US17031081700","Census Tract 817; Cook County; Illinois","3867","367","901","187","2966","383",
"1400000US17031081800","Census Tract 818; Cook County; Illinois","8462","627","3867","730","4595","706",
"1400000US17031081900","Census Tract 819; Cook County; Illinois","741","206","308","176","433","96",
"1400000US17031090100","Census Tract 901; Cook County; Illinois","1439","131","1274","165","165","87",
"1400000US17031090200","Census Tract 902; Cook County; Illinois","2689","291","2081","285","608","189",
"1400000US17031090300","Census Tract 903; Cook County; Illinois","553","65","446","66","107","45",
"1400000US17031100100","Census Tract 1001; Cook County; Illinois","2207","253","1908","275","299","133",
"1400000US17031100200","Census Tract 1002; Cook County; Illinois","2850","201","1959","298","891","211",
"1400000US17031100300","Census Tract 1003; Cook County; Illinois","2756","256","1849","262","907","197",
"1400000US17031100400","Census Tract 1004; Cook County; Illinois","1279","143","1189","158","90","60",
"1400000US17031100500","Census Tract 1005; Cook County; Illinois","2389","349","2225","337","164","93",
"1400000US17031100600","Census Tract 1006; Cook County; Illinois","1885","148","1455","185","430","119",
"1400000US17031100700","Census Tract 1007; Cook County; Illinois","1886","163","1756","160","130","81",
"1400000US17031110100","Census Tract 1101; Cook County; Illinois","2443","416","1641","448","802","211",
"1400000US17031110200","Census Tract 1102; Cook County; Illinois","1376","275","669","126","707","295",
"1400000US17031110300","Census Tract 1103; Cook County; Illinois","1848","175","1656","172","192","96",
"1400000US17031110400","Census Tract 1104; Cook County; Illinois","2164","165","1384","214","780","186",
"1400000US17031110501","Census Tract 1105.01; Cook County; Illinois","1962","246","1218","178","744","264",
"1400000US17031110502","Census Tract 1105.02; Cook County; Illinois","1545","223","1066","233","479","168",
"1400000US17031120100","Census Tract 1201; Cook County; Illinois","1523","140","1485","143","38","29",
"1400000US17031120200","Census Tract 1202; Cook County; Illinois","1805","142","1532","184","273","101",
"1400000US17031120300","Census Tract 1203; Cook County; Illinois","2589","251","2333","319","256","143",
"1400000US17031120400","Census Tract 1204; Cook County; Illinois","1334","148","1056","168","278","116",
"1400000US17031130100","Census Tract 1301; Cook County; Illinois","1874","196","936","119","938","214",
"1400000US17031130200","Census Tract 1302; Cook County; Illinois","705","255","613","252","92","47",
"1400000US17031130300","Census Tract 1303; Cook County; Illinois","1898","143","804","138","1094","155",
"1400000US17031140100","Census Tract 1401; Cook County; Illinois","1269","149","340","165","929","150",
"1400000US17031140200","Census Tract 1402; Cook County; Illinois","1962","268","800","249","1162","172",
"1400000US17031140301","Census Tract 1403.01; Cook County; Illinois","917","131","285","80","632","158",
"1400000US17031140302","Census Tract 1403.02; Cook County; Illinois","1345","171","684","161","661","156",
"1400000US17031140400","Census Tract 1404; Cook County; Illinois","2085","217","1614","245","471","155",
"1400000US17031140500","Census Tract 1405; Cook County; Illinois","1428","174","642","120","786","189",
"1400000US17031140601","Census Tract 1406.01; Cook County; Illinois","864","89","376","69","488","85",
"1400000US17031140602","Census Tract 1406.02; Cook County; Illinois","1684","197","391","104","1293","197",
"1400000US17031140701","Census Tract 1407.01; Cook County; Illinois","1050","133","464","114","586","137",
"1400000US17031140702","Census Tract 1407.02; Cook County; Illinois","2189","251","805","218","1384","240",
"1400000US17031140800","Census Tract 1408; Cook County; Illinois","2642","246","1223","161","1419","279",
"1400000US17031150200","Census Tract 1502; Cook County; Illinois","2962","332","1681","316","1281","238",
"1400000US17031150300","Census Tract 1503; Cook County; Illinois","3251","354","1864","289","1387","342",
"1400000US17031150401","Census Tract 1504.01; Cook County; Illinois","1822","157","1098","182","724","197",
"1400000US17031150402","Census Tract 1504.02; Cook County; Illinois","1331","128","835","101","496","121",
"1400000US17031150501","Census Tract 1505.01; Cook County; Illinois","1572","200","1173","199","399","145",
"1400000US17031150502","Census Tract 1505.02; Cook County; Illinois","1539","221","981","220","558","145",
"1400000US17031150600","Census Tract 1506; Cook County; Illinois","1447","196","1032","113","415","192",
"1400000US17031150700","Census Tract 1507; Cook County; Illinois","1417","195","961","144","456","206",
"1400000US17031150800","Census Tract 1508; Cook County; Illinois","1740","165","1256","203","484","145",
"1400000US17031151001","Census Tract 1510.01; Cook County; Illinois","869","100","530","100","339","91",
"1400000US17031151002","Census Tract 1510.02; Cook County; Illinois","1715","161","730","141","985","197",
"1400000US17031151100","Census Tract 1511; Cook County; Illinois","1920","220","889","174","1031","250",
"1400000US17031151200","Census Tract 1512; Cook County; Illinois","1291","171","1038","181","253","88",
"1400000US17031160100","Census Tract 1601; Cook County; Illinois","1014","132","658","165","356","113",
"1400000US17031160200","Census Tract 1602; Cook County; Illinois","1353","108","915","117","438","93",
"1400000US17031160300","Census Tract 1603; Cook County; Illinois","1895","220","915","185","980","192",
"1400000US17031160400","Census Tract 1604; Cook County; Illinois","2226","237","1092","247","1134","234",
"1400000US17031160501","Census Tract 1605.01; Cook County; Illinois","1399","199","526","118","873","214",
"1400000US17031160502","Census Tract 1605.02; Cook County; Illinois","1548","227","794","127","754","224",
"1400000US17031160601","Census Tract 1606.01; Cook County; Illinois","1530","212","730","177","800","207",
"1400000US17031160602","Census Tract 1606.02; Cook County; Illinois","1570","146","908","172","662","149",
"1400000US17031160700","Census Tract 1607; Cook County; Illinois","2500","446","1204","467","1296","286",
"1400000US17031160800","Census Tract 1608; Cook County; Illinois","1799","226","860","145","939","227",
"1400000US17031160900","Census Tract 1609; Cook County; Illinois","995","148","664","138","331","107",
"1400000US17031161000","Census Tract 1610; Cook County; Illinois","894","98","426","67","468","110",
