"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","1423","161","0","13","74","60","37","35","11","16","67","79","36","30","33","29","202","109","97","63","866","179",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","1792","137","0","13","64","56","97","60","23","26","13","19","111","60","38","46","40","32","56","54","1350","146",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","928","103","5","8","30","22","8","7","7","11","16","14","12","13","118","107","56","33","48","30","628","76",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","1219","150","10","16","32","35","85","66","23","22","30","38","35","32","165","142","104","68","157","89","578","137",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","1260","118","10","17","69","52","112","68","0","13","22","24","9","15","51","45","45","43","141","82","801","143",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","2447","209","116","82","280","132","546","178","211","114","14","24","43","41","28","31","73","74","44","43","1092","250",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","1238","113","45","25","148","69","102","56","35","34","0","13","64","61","122","65","23","26","35","29","664","147",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","2326","247","23","37","169","86","390","209","0","18","45","37","51","45","33","37","51","40","119","96","1445","251",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","1274","139","13","18","136","65","100","50","75","41","18","22","53","45","47","48","17","21","32","30","783","186",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","779","153","0","13","30","18","61","25","17","18","5","9","63","77","49","38","5","8","36","42","513","139",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","550","67","0","13","17","17","123","43","14","14","17","15","78","40","19","19","18","21","15","17","249","75",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","734","98","0","13","24","23","70","41","39","29","14","16","43","35","59","37","22","30","41","32","422","104",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","738","76","13","14","74","41","174","44","30","19","17","20","40","27","0","13","22","21","5","7","363","73",
"1400000US17031051100","Census Tract 511; Cook County; Illinois","843","171","21","15","25","20","207","61","38","26","0","13","7","10","19","18","155","160","7","11","364","83",
"1400000US17031051200","Census Tract 512; Cook County; Illinois","665","96","7","12","46","27","119","46","70","47","19","18","43","34","2","3","57","41","7","12","295","81",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","1104","126","17","20","86","42","157","72","313","114","12","19","0","13","21","23","32","41","18","19","448","103",
