"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","592","173","42","39","47","43","178","134","70","45","75","68","26","25","0","13","41","29","43","32","70","72",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","360","158","0","13","126","134","45","27","75","78","59","31","5","7","5","7","5","8","30","28","10","15",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","206","42","20","15","19","16","56","34","30","22","20","21","7","11","7","9","36","31","11","16","0","13",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","437","104","7","12","125","63","46","28","82","36","51","38","34","34","20","31","5","8","54","53","13","14",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","216","55","14","13","26","32","74","30","49","30","21","24","19","19","0","13","6","9","7","11","0","13",
"1400000US17031051100","Census Tract 511; Cook County; Illinois","326","169","12","15","43","38","145","156","43","31","17","19","0","13","5","8","17","16","44","36","0","13",
"1400000US17031051200","Census Tract 512; Cook County; Illinois","340","70","8","11","25","20","91","38","67","55","41","39","20","14","22","20","0","13","66","50","0","13",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","246","87","9","15","18","20","37","30","79","58","30","28","17","19","9","14","8","13","39","48","0","13",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","428","111","9","15","36","30","86","66","81","62","6","9","33","34","25","29","39","35","86","67","27","23",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","456","140","44","31","5","9","52","38","82","48","58","66","55","85","22","25","24","29","53","45","61","67",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","744","103","41","37","57","39","97","48","124","51","130","78","26","23","75","68","63","50","109","56","22","25",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","706","136","8","13","192","100","133","77","125","69","82","66","8","13","14","16","0","13","94","63","50","58",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","850","171","50","33","70","43","107","51","181","94","195","110","36","38","11","18","70","60","77","56","53","86",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","532","69","8","13","22","19","30","23","64","38","186","75","76","40","9","10","0","13","86","49","51","44",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","1976","349","77","98","157","101","378","208","229","124","201","118","280","156","30","32","75","57","350","155","199","134",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","2445","479","96","77","232","108","136","114","425","218","535","322","407","209","34","56","81","75","438","221","61","71",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","826","113","47","41","50","43","138","71","107","61","188","91","66","40","18","21","48","51","164","74","0","13",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","504","124","21","34","56","29","75","44","60","47","102","108","72","52","7","7","14","14","68","41","29","25",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","522","99","0","13","31","20","68","33","127","57","111","42","34","30","20","22","21","17","100","70","10","10",
