GEOID,poverty_rate,poverty_rate_z,renter_rate,renter_rate_z,old_building_rate,old_building_rate_z,housing_structural_index
17031301702,8.77,-0.5361124795441238,53.91,0.4789963601535418,67.64,1.5102693386229356,1.4531532192323535
17031301801,21.57,0.5594725509900723,37.3,-0.2227309724183823,66.38,1.4584719701795643,1.7952135487512544
17031301802,32.63,1.5061264914360264,59.88,0.731212625984631,59.13,1.16043155651731,3.3977706739379676
17031301803,11.34,-0.3161395476321797,64.01,0.9056938953116659,74.33,1.7852886996436916,2.3748430473231776
17031310200,7.9,-0.6105780245882448,65.79,0.9808940549731966,66.36,1.4576497897280825,1.8279658201130342
17031310300,13.97,-0.09103106088960654,66.12,0.9948356576070758,40.0,0.37401595467469906,1.2778205513921683
17031310400,12.24,-0.23910622517274402,54.36,0.49800763647246826,61.25,1.2475826843744107,1.5064840956741348
17031310500,17.11,0.17772964191331334,66.72,1.0201840260323107,46.83,0.6547905788558298,1.852704246801454
17031310600,9.57,-0.4676384151357365,79.49,1.5596818006827302,45.51,0.6005266690580124,1.6925700546050062
17031310700,23.37,0.7135391959089438,87.74,1.9082218665297124,48.52,0.7242648270060659,3.3460258894447223
17031310800,19.39,0.3728807254772171,69.13,1.121999972540338,65.0,1.4017415190273008,2.8966222170448557
17031310900,24.95,0.8487754731155085,60.59,0.7612081952878259,56.34,1.0457373835355597,2.655721051938894
17031320101,2.67,-1.0582272206580765,64.86,0.9416040839140819,0.0,-1.2703449482894638,-1.3869680850334585
17031320102,13.29,-0.14923401563673583,70.72,1.189173148867211,10.7,-0.8304784067465502,0.2094607264839251
17031320400,19.28,0.3634655416210639,31.92,-0.4500213426313232,32.23,0.05459884927391033,-0.03195695173634895
17031320600,14.03,-0.08589550605897761,66.34,1.0041300593629954,22.11,-0.3614244591760227,0.556810094127995
17031330101,9.98,-0.432545457126438,26.79,-0.6667498926670832,1.81,-1.1959376174303353,-2.2952329672238565
17031330102,2.81,-1.0462442593866088,64.54,0.9280849540872902,2.8,-1.1552396850819724,-1.273398990381291
